timestamp,total_wallet,total_margin_balance,available_balance,total_unrealized,maint_buffer,margin_ratio_pct,positions_count,open_orders_count,realized_7d
2026-04-25 08:57:12.275755+09:00,166860.07409039,148877.93767184,143365.76503633,-17982.13641855,148215.70598949998,0.4448151906830584,150,8,9.49957657
2026-04-25 08:57:41.200727+09:00,166859.25793205,148890.09758002,143377.24378767,-17969.16035203,148227.73323175,0.444867965724864,150,8,9.49957657
2026-04-25 08:58:11.571122+09:00,166858.15952415,148892.97525967,143378.64518541,-17965.18426448,148230.53984051,0.4449071005564297,150,8,9.49957657
2026-04-25 08:58:41.581338+09:00,166856.70698694,148890.88087878,143377.17281174,-17965.82610816,148228.49042713002,0.4448831572091291,150,8,9.49957657
2026-04-25 08:59:12.744357+09:00,166856.51943348,148892.27369696,143377.77918856,-17964.24573652,148229.86944520002,0.4448882640533714,150,8,9.49957657
2026-04-25 08:59:42.012527+09:00,166844.80271822,148866.24188812,143352.89940481,-17978.5608301,148203.84584297,0.4449605476356565,150,8,9.49957657
2026-04-25 09:00:13.859910+09:00,166846.69148557,148871.91678033,143359.29522177,-17974.77470524,148209.47986728,0.4449710377730058,150,8,9.49957657
2026-04-25 09:00:42.134122+09:00,166855.5092878,148889.1341041,143368.7004689,-17966.3751837,148226.51543071,0.4450416596060742,150,8,9.49957657
2026-04-25 09:01:11.869472+09:00,166837.07250032,148869.545092,143357.88504621,-17967.52740832,148207.00159454998,0.4450497225880245,150,8,9.49957657
2026-04-25 09:01:42.013244+09:00,166853.90953698,148902.7307423,143379.60122678,-17951.17879468,148240.02818156,0.4450573588787386,150,8,9.49957657
2026-04-25 09:02:12.187352+09:00,166919.2535396,148997.00459506,143465.78888917,-17922.24894454,148334.24239571,0.4448157875060891,150,8,9.49957657
2026-04-25 09:02:53.621248+09:00,166902.94083749,148951.95214872,143438.37088597,-17950.98868877,148289.48718757002,0.4447507747253736,150,8,9.49957657
2026-04-25 09:03:24.048198+09:00,166923.50620772,148996.77576986,143480.10426126,-17926.73043786,148333.87242871,0.4449111987321918,150,8,9.49957657
2026-04-25 09:03:53.454951+09:00,166923.38040528,148992.48905889,143478.20994056,-17930.89134639,148329.71990309,0.4448339375940202,150,8,9.49957657
2026-04-25 09:04:24.051192+09:00,166902.2620583,148966.9101899,143444.06808562,-17935.3518684,148304.03402791,0.4449821515026249,150,8,9.49957657
2026-04-25 09:04:53.753942+09:00,166857.54919131,148876.99421092,143364.04091442,-17980.55498039,148214.57796942,0.444941977107308,150,8,9.49957657
2026-04-25 09:05:24.142930+09:00,166810.15252619,148823.82964599,143304.41543884,-17986.3228802,148161.35251735,0.445141836637215,150,8,9.49957657
2026-04-25 09:05:54.685275+09:00,166818.74952344,148851.77295289,143336.40206456,-17966.97657055,148189.31012604,0.4450486639884783,150,8,9.49957657
2026-04-25 09:06:24.123629+09:00,166819.72066286,148842.75881394,143330.53982639,-17976.96184892,148180.48696118,0.4449473108650646,150,8,9.49957657
2026-04-25 09:06:54.990047+09:00,166838.83351442,148878.23729533,143364.58624809,-17960.59621909,148215.73193621,0.4449981213881429,150,8,9.49957657
2026-04-25 09:07:23.789592+09:00,166831.17933565,148867.0252803,143355.98248467,-17964.15405535,148204.62524284,0.4449608878882174,150,8,9.49957657
2026-04-25 09:07:53.880892+09:00,166840.50438619,148877.99960965,143364.91444838,-17962.50477654,148215.65297249,0.4448922197347068,150,8,9.49957657
2026-04-25 09:08:24.734666+09:00,166847.22036289,148888.07628215,143372.43682161,-17959.14408074,148225.52871913,0.4449970605869343,150,8,9.49957657
2026-04-25 09:08:54.460679+09:00,166854.25806684,148897.8048878,143386.57603803,-17956.45317904,148235.26321889,0.4449640271119172,150,8,9.49957657
2026-04-25 09:09:24.296892+09:00,166851.06175115,148891.46171179,143376.29177481,-17959.60003936,148228.93425176002,0.444973440661398,150,8,9.49957657
2026-04-25 09:09:53.791207+09:00,166848.72229295,148874.53115888,143359.06490665,-17974.19113407,148212.21778414,0.4448802421639026,150,8,9.49957657
2026-04-25 09:10:24.264475+09:00,166818.82281638,148792.02377311,143277.40836693,-18026.79904327,148130.32771358002,0.4447120502500907,150,8,9.49957657
2026-04-25 09:10:53.981111+09:00,166812.6165489,148795.48266682,143286.45711373,-18017.13388208,148133.6181957,0.4448148957599971,150,8,9.49957657
2026-04-25 09:11:24.580033+09:00,166815.20590865,148789.3587549,143277.55703268,-18025.84715375,148127.54222606,0.4448009819910625,150,8,9.49957657
2026-04-25 09:12:04.974733+09:00,166779.44902329,148722.3677362,143206.69288784,-18057.08128709,148060.66184575998,0.4449269471110877,150,8,9.49957657
2026-04-25 09:12:35.271843+09:00,166770.76427325,148730.26476974,143216.33367167,-18040.49950351,148068.24961522,0.4451112593290365,150,8,9.49957657
2026-04-25 09:13:06.115565+09:00,166745.05671166,148698.27310014,143190.92554126,-18046.78361152,148036.19047128002,0.4452523994102636,150,8,9.49957657
2026-04-25 09:13:35.588048+09:00,166744.54894411,148698.15046214,143188.14223205,-18046.39848197,148036.06968480002,0.4452515214764371,150,8,9.49957657
2026-04-25 09:14:05.775309+09:00,166752.6802538,148704.71362648,143196.37276073,-18047.96662732,148042.63846813,0.4452280914329427,150,8,9.49957657
2026-04-25 09:14:35.373109+09:00,166752.84984073,148715.07287712,143205.34888281,-18037.77696361,148052.96716877,0.4452176202052386,150,8,9.49957657
